description|labelDraCor
Il sort.|exit
Elle sort.|exit
Elle sort.|exit
Chambre très modeste. Au fond, alcôve et lit ; à droite, nu fond, placard ; à gauche, poêle; 1er plan à droite, table et miroir; le plan à gauche, fenêtre et table de travail.|decor
Chantant.|sing
S'interrompent.|interrupt
Elle ouvre la fenêtre.|open
Elle ferme la fenêtre.|close
Elle va voir.|watch
Elle ouvre le placard.|open
Elle les jette.|throw
Elle se lève.|stand
Elle ouvre l'armoire.|open
On frappe.|knock
On frappe encore.|knock
À part.|aparte
Haut.|loud
À part.|aparte
À part.|aparte
Haut.|loud
À part.|aparte
Il se lève.|stand
Il ouvre la porte et lit attentivement une carte de visite clouée à l'extérieur.|open
Il regarde autour de lui.|watch
Apercevant Antonin.|watch
À Antonin.|toward
Sérieusement.|serious
S'approchant.|closer
Il s'approche encore.|closer
Il l'embrasse.|kiss
Seule.|alone
À part.|aparte
Elle passe devant lui.|away
Haut.|loud
Il s'approche.|closer
Haut.|loud
À Antonin.|toward
À Risette.|toward
À Antonin.|toward
Elles ramassent les tessons.|get
Il va les chercher.|search
À Risette.|toward
Elle passe derrière la table.|throw
Il passe devant Évelina.|location
Elle sort.|exit
À Évelina.|toward
Faisant sauter le bouchon de la bouteille.|open
Ils trinquent.|drink
À part.|aparte
Haut.|loud
À part.|aparte
Haut.|loud
À part.|aparte
Haut.|loud
Ils se lèvent.|stand
Haut.|loud
À part.|aparte
Haut.|loud
Évelina sort.|exit
Il se promène mélancoliquement en faisant le geste de peser quelque chose dans ses mains.|away
Ils s'asseyent a table.|sit
À Évelina.|toward
Haut.|loud
Air nouveau de Couder.|title
I|title
II|title
Ils se lèvent et descendent la scène.|location
Évelina se rassied à table à la place de Risette.|sit
À Risette.|toward
Montrant Évelina.|show
Haut.|loud
À part.|aparte
Haut.|loud
Le portier sort.|exit
À part.|aparte
Elle lui donne la lettre, il lit tout bas à part.|give
Il va prendre la main de Risette.|get
Se reprenant.|quiet
Elle va le prendre par le bras et l'amène en scène.|touch
Elle va s'asseoir à gauche.|sit
Lui donnant la main.|give
À part.|aparte
Puis à part.|aparte
À Julie.|toward
À part.|aparte
À Géronte.|toward
Elle sort.|exit
Il sort.|exit
Il sort.|exit
À part.|aparte
Elle se frappe.|suicide
Il lui montre un portrait.|show
Lui faisant voir l'agrafe.|show
À part.|aparte
Haut.|loud
Haut.|loud
À part.|aparte
Elle sort.|exit
Monsieur Mathieu sort.|exit
Marthon fait quelques pas pour sortir.|away
À Marthon.|toward
Madame Abraham et Benjamine rentrent dans leur appartement.|exit
Il va se mettre entre Damis et Marthon.|location
Damis sort.|exit
Marthon sort.|exit
Au Marquis.|toward
Le laquais sort.|exit
Elle sort.|exit
À Monsieur Pot-De-Vin.|toward
Elle sort.|exit
À Monsieur Pot-De-Vin.|toward
Monsieur Pot-De-Vin sort.|exit
À part, avec ironie.|aparte
Il sort.|exit
À Madame Abraham.|toward
À Benjamine.|toward
Il sort.|exit
Elle sort.|exit
Elle sort.|exit
Elle sort.|exit
Damis sort.|exit
À part.|aparte
À part.|aparte
Il embrasse une seconde fois Monsieur Mathieu.|kiss
À part.|aparte
Il se met à genoux.|kneel
À part.|aparte
À part.|aparte
Au Marquis.|toward
Appelant.|loud
À Madame Abraham.|toward
À Monsieur Mathieu.|toward
À Marthon.|toward
À Benjamine, lui donnant un billet.|toward
À Benjamine.|toward
À Marthon.|toward
Il sort.|exit
Il lit.|read
Cessant de lire.|action
Après avoir lu.|action
Le coureur sort.|exit
À Marthon.|toward
Elle sort.|exit
Monsieur Mathieu sort, sans écouter Benjamine.|exit
À Marthon.|toward
Monsieur Mathieu, Benjamine et Damis sortent.|exit
Au Marquis.|toward
À Marthon.|toward
Au commissaire.|toward
Au commandeur et au comte.|toward
Il embrasse Monsieur Mathieu.|kiss
Il l'embrasse.|kiss
Au comte.|toward
À Marthon.|toward
Il embrasse Marthon.|kiss
Au notaire.|toward
Montrant un contrat.|show
Tout le monde signe.|write
Montrant Benjamine.|show
À Madame Abraham, en allant l'embrasser.|toward
À Benjamine.|toward
À Monsieur Mathieu, au commissaire et au notaire.|toward
À Damis.|toward
Au Commandeur et au Comte.|toward
Il sort avec le Commandeur et le Comte.|exit
Il s'en va.|exit
Elle rit comme une folle.|laugh
La médisance est habillée en dévote, sans panier, avec une pointe noir et une espèce de guimpe ou de collet.|costume
Hector Criquet est habillé de noir avec un manteau, une grande perruque sans poudre et un grand rabat.|costume
Il fait six pas.|walk
Jusqu'à ces mots, le dit Hector Criquet.|toward
Il fait huit pas.|walk
Le Bal amène les Jeux, les Ris et les Grâces.|entrance
Air.|music
Air en duo.|title
Il chante.|sing
Il chante.|sing
Il sort en chantant.|sing
Il refrappe.|knock
Il s'interrompt.|interrupt
Il frappe de nouveau plus fort sur le guéridon.|noise
Se ravisant brusquement.|hesitate
Il saisit le bock et le vide d'un seul trait, à la grande stupeur du garçon.|drink
Il approche son chapeau de la manche de sa redingote.|closer
Il désigne le garçon de café.|show
Musique céleste.|music
Il lui met dans la main une somme de sept francs cinquante.|give
Il se met à chanter, air de Faust.|sing
APOTHÉOSE. - RIDEAU|decor
Le Théâtre représente une pièce de l'appartement de Ninon. Portes au fond ; portes latérales ; une toilette à droite de l'acteur ; une table et tout ce qu'il faut pour écrire, à gauche.|decor
AIR : Un page aimait la jeune Adèle.|title
AIR d'Aristippe.|title
Elle le prend.|get
Elle l'enferme dans sa toilette.|close
Il lit.|read
Elle se dispose à le déchirer.|tear
Elle place le papier dans sa toilette.|drop
Haut.|loud
AIR : Vaudeville de la Robe et les hottes.|title
Elles entrent.|entrance
Il entre.|entrance
Il entre.|entrance
AIR : Vaudeville du Baiser au porteur.|title
Il entre.|entrance
