description|labelGeneric
Il sort.|exit
Elle sort.|exit
Elle sort.|exit
Chambre très modeste. Au fond, alcôve et lit ; à droite, nu fond, placard ; à gauche, poêle; 1er plan à droite, table et miroir; le plan à gauche, fenêtre et table de travail.|setting
Chantant.|delivery
S'interrompent.|delivery
Elle ouvre la fenêtre.|action
Elle ferme la fenêtre.|object
Elle va voir.|action
Elle ouvre le placard.|action
Elle les jette.|object
Elle se lève.|action
Elle ouvre l'armoire.|action
On frappe.|action
On frappe encore.|action
À part.|aparte
Haut.|delivery
À part.|aparte
À part.|aparte
Haut.|delivery
À part.|aparte
Il se lève.|action
Il ouvre la porte et lit attentivement une carte de visite clouée à l'extérieur.|action
Il regarde autour de lui.|action
Apercevant Antonin.|action
À Antonin.|toward
Sérieusement.|delivery
S'approchant.|movement
Il s'approche encore.|movement
Il l'embrasse.|interaction
Seule.|aparte
À part.|aparte
Elle passe devant lui.|movement
Haut.|delivery
Il s'approche.|movement
Haut.|delivery
À Antonin.|toward
À Risette.|toward
À Antonin.|toward
Elles ramassent les tessons.|object
Il va les chercher.|action
À Risette.|toward
Elle passe derrière la table.|object
Il passe devant Évelina.|setting
Elle sort.|exit
À Évelina.|toward
Faisant sauter le bouchon de la bouteille.|action
Ils trinquent.|action
À part.|aparte
Haut.|delivery
À part.|aparte
Haut.|delivery
À part.|aparte
Haut.|delivery
Ils se lèvent.|action
Haut.|delivery
À part.|aparte
Haut.|delivery
Évelina sort.|exit
Il se promène mélancoliquement en faisant le geste de peser quelque chose dans ses mains.|movement
Ils s'asseyent a table.|action
À Évelina.|toward
Haut.|delivery
Air nouveau de Couder.|music
I|music
II|music
Ils se lèvent et descendent la scène.|setting
Évelina se rassied à table à la place de Risette.|action
À Risette.|toward
Montrant Évelina.|action
Haut.|delivery
À part.|aparte
Haut.|delivery
Le portier sort.|exit
À part.|aparte
Elle lui donne la lettre, il lit tout bas à part.|object
Il va prendre la main de Risette.|object
Se reprenant.|delivery
Elle va le prendre par le bras et l'amène en scène.|interaction
Elle va s'asseoir à gauche.|action
Lui donnant la main.|object
À part.|aparte
Puis à part.|aparte
À Julie.|toward
À part.|aparte
À Géronte.|toward
Elle sort.|exit
Il sort.|exit
Il sort.|exit
À part.|aparte
Elle se frappe.|aggression
Il lui montre un portrait.|action
Lui faisant voir l'agrafe.|action
À part.|aparte
Haut.|delivery
Haut.|delivery
À part.|aparte
Elle sort.|exit
Monsieur Mathieu sort.|exit
Marthon fait quelques pas pour sortir.|movement
À Marthon.|toward
Madame Abraham et Benjamine rentrent dans leur appartement.|exit
Il va se mettre entre Damis et Marthon.|setting
Damis sort.|exit
Marthon sort.|exit
Au Marquis.|toward
Le laquais sort.|exit
Elle sort.|exit
À Monsieur Pot-De-Vin.|toward
Elle sort.|exit
À Monsieur Pot-De-Vin.|toward
Monsieur Pot-De-Vin sort.|exit
À part, avec ironie.|aparte
Il sort.|exit
À Madame Abraham.|toward
À Benjamine.|toward
Il sort.|exit
Elle sort.|exit
Elle sort.|exit
Elle sort.|exit
Damis sort.|exit
À part.|aparte
À part.|aparte
Il embrasse une seconde fois Monsieur Mathieu.|interaction
À part.|aparte
Il se met à genoux.|action
À part.|aparte
À part.|aparte
Au Marquis.|toward
Appelant.|delivery
À Madame Abraham.|toward
À Monsieur Mathieu.|toward
À Marthon.|toward
À Benjamine, lui donnant un billet.|toward
À Benjamine.|toward
À Marthon.|toward
Il sort.|exit
Il lit.|action
Cessant de lire.|action
Après avoir lu.|action
Le coureur sort.|exit
À Marthon.|toward
Elle sort.|exit
Monsieur Mathieu sort, sans écouter Benjamine.|exit
À Marthon.|toward
Monsieur Mathieu, Benjamine et Damis sortent.|exit
Au Marquis.|toward
À Marthon.|toward
Au commissaire.|toward
Au commandeur et au comte.|toward
Il embrasse Monsieur Mathieu.|interaction
Il l'embrasse.|interaction
Au comte.|toward
À Marthon.|toward
Il embrasse Marthon.|interaction
Au notaire.|toward
Montrant un contrat.|action
Tout le monde signe.|action
Montrant Benjamine.|action
À Madame Abraham, en allant l'embrasser.|toward
À Benjamine.|toward
À Monsieur Mathieu, au commissaire et au notaire.|toward
À Damis.|toward
Au Commandeur et au Comte.|toward
Il sort avec le Commandeur et le Comte.|exit
Il s'en va.|exit
Elle rit comme une folle.|delivery
La médisance est habillée en dévote, sans panier, avec une pointe noir et une espèce de guimpe ou de collet.|object
Hector Criquet est habillé de noir avec un manteau, une grande perruque sans poudre et un grand rabat.|object
Il fait six pas.|movement
Jusqu'à ces mots, le dit Hector Criquet.|toward
Il fait huit pas.|movement
Le Bal amène les Jeux, les Ris et les Grâces.|entrance
Air.|music
Air en duo.|music
Il chante.|delivery
Il chante.|delivery
Il sort en chantant.|delivery
Il refrappe.|action
Il s'interrompt.|delivery
Il frappe de nouveau plus fort sur le guéridon.|narration
Se ravisant brusquement.|delivery
Il saisit le bock et le vide d'un seul trait, à la grande stupeur du garçon.|action
Il approche son chapeau de la manche de sa redingote.|movement
Il désigne le garçon de café.|action
Musique céleste.|music
Il lui met dans la main une somme de sept francs cinquante.|object
Il se met à chanter, air de Faust.|delivery
APOTHÉOSE. - RIDEAU|setting
Le Théâtre représente une pièce de l'appartement de Ninon. Portes au fond ; portes latérales ; une toilette à droite de l'acteur ; une table et tout ce qu'il faut pour écrire, à gauche.|setting
AIR : Un page aimait la jeune Adèle.|music
AIR d'Aristippe.|music
Elle le prend.|object
Elle l'enferme dans sa toilette.|object
Il lit.|action
Elle se dispose à le déchirer.|object
Elle place le papier dans sa toilette.|object
Haut.|delivery
AIR : Vaudeville de la Robe et les hottes.|music
Elles entrent.|entrance
Il entre.|entrance
Il entre.|entrance
AIR : Vaudeville du Baiser au porteur.|music
Il entre.|entrance
