Il sort.|exit
Elle sort.|exit
Chambre très modeste. Au fond, alcôve et lit ; à droite, nu fond, placard ; à gauche, poêle; 1er plan à droite, table et miroir; le plan à gauche, fenêtre et table de travail.|setting
Chantant.|delivery
S'interrompent.|delivery
Elle ouvre la fenêtre.|action
Elle ferme la fenêtre.|object
Elle va voir.|action
Elle ouvre le placard.|action
Elle les jette.|object
Elle se lève.|action
Elle ouvre l'armoire.|action
On frappe.|action
On frappe encore.|action
À part.|aparte
Haut.|delivery
Il se lève.|action
Il ouvre la porte et lit attentivement une carte de visite clouée à l'extérieur.|action
Il regarde autour de lui.|action
Apercevant Antonin.|action
À Antonin.|toward
Sérieusement.|delivery
S'approchant.|movement
Il s'approche encore.|movement
Il l'embrasse.|interaction
Seule.|aparte
Elle passe devant lui.|movement
Il s'approche.|movement
À Risette.|toward
Elles ramassent les tessons.|object
Il va les chercher.|action
Elle passe derrière la table.|object
Il passe devant Évelina.|setting
À Évelina.|toward
Faisant sauter le bouchon de la bouteille.|action
Ils trinquent.|action
Ils se lèvent.|action
Évelina sort.|exit
Il se promène mélancoliquement en faisant le geste de peser quelque chose dans ses mains.|movement
Ils s'asseyent a table.|action
Air nouveau de Couder.|music
I|music
II|music
Ils se lèvent et descendent la scène.|setting
Évelina se rassied à table à la place de Risette.|action
Montrant Évelina.|action
Le portier sort.|exit
Elle lui donne la lettre, il lit tout bas à part.|object
Il va prendre la main de Risette.|object
Se reprenant.|delivery
Elle va le prendre par le bras et l'amène en scène.|interaction
Elle va s'asseoir à gauche.|action
Lui donnant la main.|object
Puis à part.|aparte
À Julie.|toward
À Géronte.|toward
Elle se frappe.|aggression
Il lui montre un portrait.|action
Lui faisant voir l'agrafe.|action
Monsieur Mathieu sort.|exit
Marthon fait quelques pas pour sortir.|movement
À Marthon.|toward
Madame Abraham et Benjamine rentrent dans leur appartement.|exit
Il va se mettre entre Damis et Marthon.|setting
Damis sort.|exit
Marthon sort.|exit
Au Marquis.|toward
Le laquais sort.|exit
À Monsieur Pot-De-Vin.|toward
Monsieur Pot-De-Vin sort.|exit
À part, avec ironie.|aparte
À Madame Abraham.|toward
À Benjamine.|toward
Il embrasse une seconde fois Monsieur Mathieu.|interaction
Il se met à genoux.|action
Appelant.|delivery
À Monsieur Mathieu.|toward
À Benjamine, lui donnant un billet.|toward
Il lit.|action
Cessant de lire.|action
Après avoir lu.|action
Le coureur sort.|exit
Monsieur Mathieu sort, sans écouter Benjamine.|exit
Monsieur Mathieu, Benjamine et Damis sortent.|exit
Au commissaire.|toward
Au commandeur et au comte.|toward
Il embrasse Monsieur Mathieu.|interaction
Au comte.|toward
Il embrasse Marthon.|interaction
Au notaire.|toward
Montrant un contrat.|action
Tout le monde signe.|action
Montrant Benjamine.|action
À Madame Abraham, en allant l'embrasser.|toward
À Monsieur Mathieu, au commissaire et au notaire.|toward
À Damis.|toward
Au Commandeur et au Comte.|toward
Il sort avec le Commandeur et le Comte.|exit
Il s'en va.|exit
Elle rit comme une folle.|delivery
La médisance est habillée en dévote, sans panier, avec une pointe noir et une espèce de guimpe ou de collet.|object
Hector Criquet est habillé de noir avec un manteau, une grande perruque sans poudre et un grand rabat.|object
Il fait six pas.|movement
Jusqu'à ces mots, le dit Hector Criquet.|toward
Il fait huit pas.|movement
Le Bal amène les Jeux, les Ris et les Grâces.|entrance
Air.|music
Air en duo.|music
Il chante.|delivery
Il sort en chantant.|delivery
Il refrappe.|action
Il s'interrompt.|delivery
Il frappe de nouveau plus fort sur le guéridon.|narration
Se ravisant brusquement.|delivery
Il saisit le bock et le vide d'un seul trait, à la grande stupeur du garçon.|action
Il approche son chapeau de la manche de sa redingote.|movement
Il désigne le garçon de café.|action
Musique céleste.|music
Il lui met dans la main une somme de sept francs cinquante.|object
Il se met à chanter, air de Faust.|delivery
APOTHÉOSE. - RIDEAU|setting
Le Théâtre représente une pièce de l'appartement de Ninon. Portes au fond ; portes latérales ; une toilette à droite de l'acteur ; une table et tout ce qu'il faut pour écrire, à gauche.|setting
AIR : Un page aimait la jeune Adèle.|music
AIR d'Aristippe.|music
Elle le prend.|object
Elle l'enferme dans sa toilette.|object
Elle se dispose à le déchirer.|object
Elle place le papier dans sa toilette.|object
AIR : Vaudeville de la Robe et les hottes.|music
Elles entrent.|entrance
Il entre.|entrance
AIR : Vaudeville du Baiser au porteur.|music
Les laquais donnent des siégés, et l'on se place dans l'ordre indiqué au commencement de la scène ; Molière, Saint-Pol Saint-Evremont, et Delaunay restent debout.|setting
Elle s'assied.|action
Tout le monde se lève ; des laquais enlèvent les sièges ; on se groupe et on cause, pendant que Ninon vient sur le devant de la scène.|action
Parlant.|delivery
Elle continue de lire.|action
Elle froisse la lettre.|object
Il se retire au fond.|movement
Elle sort avec Madame de Coulanges et d'Estrées.|exit
Aux autres.|toward
Molière sort.|exit
Bas.|delivery
AIR : T'en souviens-tu.|music
AIR : Ne raillez pas la garde citoyenne.|music
Elle rit.|delivery
AIR de Théniers.|music
AIR : Amis, voici la riante semaine.|music
Il lui baise la main.|interaction
Avec colère.|delivery
À Saint- Pol.|toward
Saint-Pol baise sa main.|interaction
Longueville va se placer entre Madame de Saint-Pol et Molière.|movement
Ironiquement.|delivery
Elle a pris sur sa toilette la promesse de mariage, et la déchire en papillotes.|object
Elle s'approche de la Comtesse de Saint-Pol.|movement
Le théâtre représente un salon ; porte au fond, portes latérales.|setting
Sophie remonte la scène.|movement
Air : Je sais arranger des rubans.|music
Musique de M. Génot.|music
Il montre un petit écrin.|action
Il lui offre l'écrin destiné à Madame_Dupré.|object
Air : Faisons la paix.|music
Laurence sort.|exit
À Ernest.|toward
Air : T'en souviens-tu ?|music
Air : À l'âge heureux de quatorze ans.|music
Air : Et voilà tout ce que j'ai fait.|music
Le domestique sort.|exit
