text,label
"Polichinelle, dans la nuit, vient pour donner une sérénade à sa maîtresse. Il est interrompu d'abord par des violons, contre lesquels il se met en colère, et ensuite par le Guet, composé de musiciens et de danseurs.",4
AIR du Baiser au porteur.,8
Tous lèvent leur massue.,1
"Elle arrive par la porte de droite, et va d'abord écouter au pan de la cloison.",4
À Robespierre et Danton.,12
Après avoir jeté un coup d'oeil.,0
Elle lui montre son coeur.,0
D'un ton plus bas :,3
Il aperçoit Colombine.,0
Revenant près de Madame_Raquin.,7
"Le Comte relit ce qu'il a écrit, et Pasquin lit la lettre.",0
AIR : De quoi vous plaignez-vous,8
À Thérèse.,12
"Il s'en va très vite. Julien, après avoir pris l'écu et remercié de la tête, sort aussi sans rien dire.",5
À Mlle Lancy.,12
Elle lui jette un masque.,10
Air : J'ai vu partout mes voyages.,8
Il l'entraîne de nouveau.,6
AIR LÉGER.,8
"Octave témoigne au Docteur la joie qu'il avait d'entrer dans sa famille : le Docteur l'en remercie ; mais en même temps il a peur que sa fille Isabelle n'ait point de goût pour le mariage ; et il montre ce couplet, sur l'air : « Tu croyais en aimant Colette ».",9
Elle tourne le billet et l'examine.,0
"Aux prêtres, en leur présentant la coupe.",12
À Ariste.,12
Les deux Gorgones veulent attaquer Persée ; mais la vertu secrète du casque qu'il porte les empêche de le voir.,1
Entre Salviati.,4
Il montre ses enfants.,0
Il est frappé derechef.,1
"Buttler, Isolan et Géraldin sortent.",5
On entend derrière le Théâtre un bruit de tambour.,9
"Les Nymphes, les Bergers et les Bergères reprennent leurs places.",11
Elle va se mettre sous le feuillage.,11
Il les pousse tous les trois.,6
AIR : En revenant de la ville.,8
Il va pour se déshabiller.,10
AIR : N'en demande pas davantage.,8
"Air : Margoton, mamie.",8
Il avale le poison.,1
Elle va regarder par la fenêtre du fond.,0
La tempête s'apaise.,9
Elle tire un poignard de sa manche.,1
"Tandis que la bague produit de prodigieux effets dans l'esprit de cette Sage Reine, qui par un prompt changement accuse la paresse de Ritiger à répondre à son Amour, étant même prête de renoncer a son État, si il pouvait lui disputer le contentement qu'elle espérait en la possession d'un si grand Prince. Et comme elle passe jusques à l'extrémité, l'artifice de Ritiger se découvre par la chute de cet anneau. Ce qui oblige cette Grande Reine à conspirer sa perte.",9
Sort Francine.,5
Second couplet,8
"Air 86 Je fuis un bon Soldat : Ti , ta, ta !",8
I. COUPLET.,8
Auguste la rejoint.,7
Les Ombres chassent le poète avec le manche de leurs balais.,1
Air. Pour voir un peu comment ça f'ra.,8
Avec volubilité.,3
Sifroy rougit et pâlit de fureur à ces paroles.,3
À Madame Leblanc.,12
Air : Je ne sais pas écrire.,8
"Air: Viens, puisqu'il doit en ces lieux.",8
Duparc et Pierrette sortent.,5
Il pleure à sa manière.,3
Il les sépare.,7
À la princesse.,12
Il lui dit encore sur le même air.,8
Air : Nous jouissons dans nos hameaux.,8
Montrant sa veste.,0
Air : À notre bonheur l'Amour préside.,8
Le Capitan seul.,2
"Au moment où elle passe machinalement sa main par la fente de son jupon , pour la porter sur un endroit où une puce la mord.",6
Elle voit Clitandre et Damis.,0
À Alis.,12
Elle baise Eras.,6
À l'Abbé de Rimeville.,12
Pendant cet air le peuple s'assemble et prend les armes.,11
À Éphise.,12
Le Grand Condé écoute.,0
Elle passe la main sur son front.,6
Prenant la lettre.,10
Lui prenant les mains.,6
Elle regarde la première page.,0
"On apporte un drapeau tricolore et des rouleaux de papiers républicains représentant des bonnets, des piques, des cocardes, faisceaux ou table des droits de l'homme, etc.",11
Air : Des olivettes.,8
Air : Enivré du brillant poste.,8
Ils sont quelque temps sans se parler.,3
Il s'approche.,7
Il se remet à écrire.,0
"On joue la Marche de Coresus, sur l'air, Faites décrotter vos souliers.",8
Air : Il faut quand l'Amour nous presse.,8
ENTRÉE,4
"Pendant cette scène, deux domestiques ont apporté une table essentiellement garnie de fruits et de laitage. Gilotin s'empresse d'y prendre place à côté de sa prétendue... On déjeune, tandis que les villageois se livrent au plaisir de la danse.",9
À Céliante.,12
Air 173 : Iris au bord de Seine.,8
Almaviva frappe du pied.,3
Marche des Personnes de la Noce.,8
L'ombre de Geneviève à Sifroy.,8
On lui passe un chapeau.,10
À Vendôme.,12
Il va pour sortir et voit rentrer Pierrette.,5
À Porcius.,12
Puis se tournant de l'autre côté sans que Dorame l'entende.,12
Aux Hurons.,12
Elle prend contre lui toutes les précautions imaginables.,6
"Bradamante se retire pour reprendre haleine, et Roger en fait de même.",5
À Licinius.,12
À part lui.,2
Les deux fées portent une couronne enrichie de diamants.,10
Revenant poser la bûche sur la table.,10
"On reprend les couplets, et la pièce finit.",3
Parlant à Athénaïs.,12
Il sort avec ses prisonniers.,5
Il ramasse son pardessus.,10
"Perillo, en sortant, rencontre Minuccio et échange quelques mots avec lui.",5
Revenant à Marie.,12
"Air 190 : Aimez, charmante Blonde.",8
Salomé entre.,4
AIR : On vit sortir d'une grotte profonde.,8
À Aglaé.,12
AIR. Bouchez. Naïades vos Fontaines.,8
Revenant à Teissier.,7
Même jeu.,0
Furibon sort ; et Thibaut emmène les meuniers.,5
Il se touche la tête.,6
"Le coin de la rue Saint-Honoré et de la rue des Vieilles-Étuves. À droite, la maison de Jean Poquelin, surnommée la Maison des Singes, à cause d'une sculpture grotesque dont elle est ornée.",11
Il court embrasser Oreste.,6
La fée lui donne le flacon.,10
À Louis.,12
"Les Plaisirs, les Amants fortunés, et les Amantes heureuses se retirent.",5
Claudine sort.,5
"Là, [la] Marquise qui se jette avec emportement sur Mademoiselle de Lesbosie, la baise longuement sur la bouche, lui darde cinq ou six fois sa langue entre les lèvres ; elle s'enflamme, n'y tient plus, renverse de nouveau Mademoiselle de Lesbosie sur l'ottomane, jette ses jupes par dessus sa tête. Elle se trouve nue jusqu'au dessus du nombril ; et la Marquise , après l'avoir couverte de baisers sur toutes les parties de son corps ; car elle la tourne et retourne, finit par la gamahucher, en se pâmant d'aise à son tour.",9
Il aperçoit le notaire.,0
Dumont sort.,5
