text,label
"Dumont, à Louis.",12
Il donne le diadème et l'épée à Ninias.,10
À Pasquin.,12
Champagne sort.,5
Il se rendort.,0
Elle se met à la table à écrire.,0
À Mademoiselle Duparc.,12
Quatre vers ensemble.,3
Philipin frappe à la porte d'Anselme.,0
Elle entre avec Orgon.,4
Il appuie sur le front mort.,6
Tous les Animaux crient de différentes manières.,3
Laforêt sort.,5
Elle se jette sur la main de la Marquise et la baise avec transport.,6
À Montval.,12
Il soulève le chapeau et montre le verre vide.,0
Elle met la main de Zelmis dans celle de Mirville.,6
Il tire le poignard caché sous sa robe.,10
AIR. [ Ô reguingué. ],8
AIR : De mes moutons le nombre augmente.,8
Entrée de Monsieur Froment et de Mademoiselle du Féï.,4
Entre un capitaine.,4
Il l'entraîne.,6
Air : Monsieur redouble mes regrets.,8
Frontin sort.,5
PARODIE.,8
Elle tombe la tête appuyée sur ses mains.,0
La voix se perd dans l'éloignement.,3
Lisette pousse Angélique pour la faire taire.,6
Dorante sort.,5
Il aperçoit Wallstein qui entre.,4
Il s'enveloppe le nez de son manteau.,10
Elle la considère.,0
Jason sort.,5
AIR. Que chacun de nous se livre.,8
Renardeau s'est jeté dans un autre fauteuil.,0
Elle lui donne le Papier d'écriture du petit Dupré.,10
Le valet sort.,5
Il sort avec Henriette.,5
"Il se jette à ses genoux, et lui baise la main. Pendant ce temps, Céphise s'avance y fans être aperçue, à travers les vignes.",0
À Necelle et Églante.,12
Rosalie et Picard sortent.,5
"Air : Robin , turelure, lure.",8
Marthon fait quelques pas pour sortir.,7
À Astérie.,12
Entre Rosette.,4
À Abdul.,12
Il mange.,0
À Cléandre.,12
Air : Des Nymphes allaient par le coche.,8
Angélique s'avance sur la scène.,11
Il lui prend les mains.,10
Il ouvre l'étui dans lequel est Valère.,0
Dialogue en musique.,8
Prenant la marotte de LA FOLIE.,10
On entend le canon.,9
Air : Mon soeur soupire.,8
Elle vient avec sa troupe.,4
Au Magister.,12
"Apercevant Boileau, Molière et La Fontaine.",0
Les pages relèvent Lorenzo.,0
"Air. Sans dessus dessous, sans devant derrière.",8
Prenant la main de Mathilde.,6
"Une salle du château d'Heverlé. Panoplies, fauteuils armoriés, portraits d'ancêtres, etc.",11
Air : Pour voir un peu comment ça fra.,8
Il lui donne une grosse bourse.,10
Elles ramassent les tessons.,10
Sainte Cécile se lève de son oratoire.,0
"La scène de cet acte est dans la chambre d'Élomire, qui doit doit être fort parée.",11
Ils déchirent leurs contrats.,10
On entend midi sonner.,9
Elle balance.,3
Remettant le petit panier qu'il tient à Adèle.,10
"- Tous deux s'en vont donc à Pilate, accompagnés de deux valets portant, l'un des outils, l'autre la boîte qui renferme les parfums pour l'embaumement. -",7
"On entend un bruit sourd. Monsieur de Saint-Yves et Monsieur de Kerkabon, paraissent tour à tour à leur fenêtre ; le premier d'intelligence avec les principaux acteurs de la fête, leur annonce l'arrivée de sa fille Mademoiselle de Kerkabon ordonne aux villageois de se cacher jusqu'au signal convenu. Ils obéissent, après avoir enlevé et fait disparaître dans le feuillage, la couronne suspendue au sommet du berceau. Monsieur de Saint-Yves, et son ami, se font signe de descendre, et au moment où mademoiselle de Saint-Yves ouvre la porte, les autres ferment ensemble leurs fenêtres.",9
Ce demi vers au Capitaine des Gardes.,12
À Guerland.,12
Air 28. Le vin a des charmes puissants.,8
"Il lui arrache sa perruque de dessus la tête. Frac est d'abord tout interdit de se trouver sans perruque ; mais il prend son parti et en lève celle de Tressant, qui métamorphose à son tour en enfant de choeur ; et il se sauve en se coiffant avec. Les bras tombent au sublime Monsieur Tressant, et Madame Lavade et le garçon de boutique étouffent de rire de voir cette tête pelée et cette figure stupidement étonnée ne pas songer seulement à se couvrir de celle qu'il vient d'ôter au tailleur, et qu'il tient encore dans sa main.",9
Air; N'aurai-je jamais un amant.,8
Devant le palais.,11
Au Chevalier,12
"Les troupes différentes de la suite d'Apollon, de Bacchus, de Mome, et de Mars, après avoir achevé leurs entrées particulières, s'unissent ensemble, et forment la dernière entrée, qui renferme toutes les autres.",4
Leudère se retire.,5
À Mathilde.,12
Sur celui de Rose et Colas.,8
Duo Du Sourd guéri.,8
À Cyndonax.,12
"Le théâtre représente le palais d'Agélas, roi d'Athènes.",11
Il boit.,0
AIR. Le jeune Berger qui m'engage.,8
"Les bergères se retirent et la ferme s'ouvre, on voit le Commandeur sur son tombeau qui prépare à souper à Don Juan. Arlequin fait des lazzis qui marquent sa frayeur, mais Don Juan s'avance hardiment et dit :",9
Air : Ne v'là-t-t-il pas que j'aime ?,8
Résolument.,3
Il aperçoit la terre inondée de sang.,0
Il lui fait présent de quelques écorces d'arbres.,10
Prenant la coupe.,10
Regardant encor une fois par dessus l'épaule de Paquette.,0
Tout le monde s'assoit en cercle.,0
Elle bande un autre arc dont elle s'arme à son tour.,1
"AIR. Zeste, zeste , zon, zon, zen.",8
Air : Ainsi jadis un grand Prophète.,8
À Fauchon.,12
"Tout le monde sort, excepté Illo, Tersky, Thécla, Élise et Alfred.",5
Apercevant une tasse et une théière sur la cheminée.,0
Il lui abaisse la main qui se relève.,6
Elle jette bas le poignard.,10
Après avoir porté la coupe à sa bouche.,0
"Il sort d'un côté, tandis que Molière entre de l'autre dans son cabinet.",5
Il entre furieux.,3
"Il jette à la mer la marionnette, qui baragouine un cri de joie en l'air.",10
Aux gardes.,12
AIR Des Trembleurs.,8
Il s'adresse à la femme.,12
Il se regarde dans une glace.,0
On entend un grand tumulte au dehors.,0
Il fait mine de tirer l'épée.,1
AIR : Soit sait ainsi.,8
À Philippin.,12
"Léandre, déguisé en esclave Turc ayant une fausse barbe.",10
